,"smt.arith.nl.patch_monomials=false","-file:{0} smt.arith.nl.patch_monomials=false",,,,,,
,"RV 11692","T_norm 11692","T_cpu 11692","T_wc 11692","# SAT 11692","# UNSAT 11692","# UNKNOWN 11692",
"QF_NIA_small\aaron3_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2",0,1.10927170559718,1.203,1.359,0,1,0,
"QF_NIA_small\aproveSMT1008289700543544835.smt2",0,0.0288249559082892,0.031,0.114,1,0,0,
"QF_NIA_small\aproveSMT1022543817592849705.smt2",0,0.0311161351737268,0.031,0.131,1,0,0,
"QF_NIA_small\aproveSMT1045293394610378205.smt2",0,0.0301267281105991,0.031,0.267,1,0,0,
"QF_NIA_small\aproveSMT1059628807158111792.smt2",0,0.0861103793466807,0.078,0.109,0,1,0,
"QF_NIA_small\aproveSMT1067631316961394932.smt2",0,11.0877096436059,12.641,13.128,1,0,0,
"QF_NIA_small\aproveSMT1076852626867582761.smt2",0,0.0394141881028939,0.047,0.269,1,0,0,
"QF_NIA_small\aproveSMT1105246329636558105.smt2",0,0.169845299952763,0.172,0.246,0,1,0,
"QF_NIA_small\aproveSMT1133405555645861684.smt2",0,0.123920598146588,0.141,0.548,1,0,0,
"QF_NIA_small\aproveSMT1154766035975480809.smt2",0,0.0446144222020018,0.047,0.12,1,0,0,
"QF_NIA_small\aproveSMT1166681508436419880.smt2",0,0.0287362637362637,0.031,0.127,1,0,0,
"QF_NIA_small\aproveSMT1207857789260966146.smt2",0,0.286105032822757,0.313,0.57,1,0,0,
"QF_NIA_small\aproveSMT1222406278700673783.smt2",0,9.49893162393162,11.156,11.609,0,1,0,
"QF_NIA_small\aproveSMT1256079449125527892.smt2",0,0.113203463203463,0.125,0.235,1,0,0,
"QF_NIA_small\aproveSMT1261041288686639410.smt2",0,0.0268922254216372,0.031,0.227,1,0,0,
"QF_NIA_small\aproveSMT1296180034830538453.smt2",0,0.502884615384616,0.547,0.806,1,0,0,
"QF_NIA_small\aproveSMT1329540615731828670.smt2",0,4.06597067969791,4.375,4.848,1,0,0,
"QF_NIA_small\aproveSMT1437438160177275586.smt2",0,52.0648381294964,51.891,54.132,0,1,0,
"QF_NIA_small\aproveSMT144364303553946193.smt2",0,0.0401237725040917,0.047,0.153,1,0,0,
"QF_NIA_small\aproveSMT1444998859697836742.smt2",0,0.0416401273885351,0.047,0.149,1,0,0,
"QF_NIA_small\aproveSMT1510730073127582778.smt2",0,0.0413068660488627,0.047,0.163,1,0,0,
"QF_NIA_small\aproveSMT1524169612101880749.smt2",0,1.30934849198869,1.328,1.689,1,0,0,
"QF_NIA_small\aproveSMT1530191844080893274.smt2",0,13.2847593582888,15.438,16.041,1,0,0,
"QF_NIA_small\aproveSMT1575921927310304758.smt2",0,15.2637035010941,16.672,17.361,1,0,0,
"QF_NIA_small\aproveSMT1619938986991890573.smt2",0,0.0426544149630274,0.047,0.084,1,0,0,
"QF_NIA_small\aproveSMT1656844573245055412.smt2",0,5.61752801992528,6.469,6.77,0,1,0,
"QF_NIA_small\aproveSMT1697563446985587562.smt2",0,0.0435639715681919,0.047,0.134,1,0,0,
"QF_NIA_small\aproveSMT1705398915961754594.smt2",0,19.5837579936051,23.422,24.354,1,0,0,
"QF_NIA_small\aproveSMT1709482801492808359.smt2",0,0.0772024090694379,0.078,0.148,1,0,0,
"QF_NIA_small\aproveSMT1747479424109945297.smt2",0,1.96060717797443,1.906,2.246,0,1,0,
"QF_NIA_small\aproveSMT1750284694627347091.smt2",0,0.646565934065934,0.703,1.049,0,1,0,
"QF_NIA_small\aproveSMT1802082844053698751.smt2",0,32.2799251870324,37.125,38.663,0,1,0,
"QF_NIA_small\aproveSMT1832939841447591359.smt2",0,0.784925722425722,0.922,1.292,1,0,0,
"QF_NIA_small\aproveSMT1909899370567820557.smt2",0,0.0924245994344958,0.094,0.394,1,0,0,
"QF_NIA_small\aproveSMT2059890911796961568.smt2",0,0.484772245762712,0.547,0.913,1,0,0,
