,"smt.arith.nl.divisions_check=false","-file:{0} smt.arith.nl.divisions_check=false",,,,,,
,"RV 11682","T_norm 11682","T_cpu 11682","T_wc 11682","# SAT 11682","# UNSAT 11682","# UNKNOWN 11682",
"QF_NIA_small\aproveSMT3057256999514663885.smt2",0,9.05192307692308,10.125,10.529,1,0,0,
"QF_NIA_small\aproveSMT3060102017506592639.smt2",0,9.51254470272687,10.172,10.568,1,0,0,
"QF_NIA_small\aproveSMT3082703823983150903.smt2",0,0.10079845814978,0.109,0.193,0,1,0,
"QF_NIA_small\aproveSMT3090147554356497231.smt2",0,0.0277836804079898,0.031,0.156,1,0,0,
"QF_NIA_small\aproveSMT3101880129747917873.smt2",0,2.69371797608881,3.016,3.198,1,0,0,
"QF_NIA_small\aproveSMT325795488857285297.smt2",0,1.04894839549003,1.156,1.33,1,0,0,
"QF_NIA_small\aproveSMT3264265901512371238.smt2",0,0.0416755206119847,0.047,0.17,1,0,0,
"QF_NIA_small\aproveSMT3305912493296657311.smt2",0,0.0421592863284609,0.047,0.161,1,0,0,
"QF_NIA_small\aproveSMT3306677380446705919.smt2",0,0.0410646984924623,0.047,0.157,1,0,0,
"QF_NIA_small\aproveSMT3320813910319868151.smt2",,981.698732989207,1000,1000,0,0,0,
"QF_NIA_small\aproveSMT3334656614075774306.smt2",0,0.111895592640137,0.125,0.229,1,0,0,
"QF_NIA_small\aproveSMT334180970798087384.smt2",0,1.20404160982265,1.266,1.447,1,0,0,
"QF_NIA_small\aproveSMT3342367565143444747.smt2",0,0.0294481981981982,0.031,0.155,1,0,0,
"QF_NIA_small\aproveSMT3400215009548742987.smt2",0,1.45740445859873,1.531,1.757,0,1,0,
