,"smt.arith.gomory_use_closest_int=false","-file:{0} smt.arith.gomory_use_closest_int=false",,,,,,
,"RV 11690","T_norm 11690","T_cpu 11690","T_wc 11690","# SAT 11690","# UNSAT 11690","# UNKNOWN 11690",
"QF_NIA_small\aproveSMT2598777028614012130.smt2",0,8.70735398860399,8.766,9.107,1,0,0,
"QF_NIA_small\aproveSMT2631357328519238424.smt2",0,0.155064041745731,0.156,0.255,1,0,0,
"QF_NIA_small\aproveSMT2632098249079857042.smt2",0,0.0459955440900563,0.047,0.119,1,0,0,
"QF_NIA_small\aproveSMT2807471946702649636.smt2",0,0.268541761752624,0.281,0.643,1,0,0,
"QF_NIA_small\aproveSMT2844713893974801294.smt2",0,0.0401895491803279,0.047,0.164,1,0,0,
"QF_NIA_small\aproveSMT2846862246352958329.smt2",0,0.131857603872529,0.156,0.262,1,0,0,
"QF_NIA_small\aproveSMT2880696731965229413.smt2",0,14.9685747067822,14.031,14.687,1,0,0,
"QF_NIA_small\aproveSMT2881315380892242955.smt2",0,0.0409275876460768,0.047,0.159,0,1,0,
"QF_NIA_small\aproveSMT2912633883485370336.smt2",0,1.74122276029056,2.063,2.357,1,0,0,
"QF_NIA_small\aproveSMT2926330432023427683.smt2",0,0.111371379897785,0.125,0.198,1,0,0,
"QF_NIA_small\aproveSMT2934397244559601587.smt2",0,0.0400582107843137,0.047,0.172,1,0,0,
"QF_NIA_small\aproveSMT2958125353683346121.smt2",0,0.419277257030093,0.406,0.616,1,0,0,
"QF_NIA_small\aproveSMT2992043958700127833.smt2",0,0.0290555555555556,0.031,0.265,1,0,0,
"QF_NIA_small\aproveSMT3033966919233248917.smt2",0,22.9872194513716,26.438,27.517,0,1,0,
"QF_NIA_small\aproveSMT3039391242675517681.smt2",0,0.093469158496732,0.109,0.199,0,1,0,
"QF_NIA_small\aproveSMT3057256999514663885.smt2",0,8.32707989265071,9.641,10.038,1,0,0,
"QF_NIA_small\aproveSMT3060102017506592639.smt2",0,9.67930825242719,11.438,11.97,1,0,0,
"QF_NIA_small\aproveSMT3082703823983150903.smt2",0,0.0785757211538461,0.078,0.194,0,1,0,
"QF_NIA_small\aproveSMT3090147554356497231.smt2",0,0.0409275876460768,0.047,0.237,1,0,0,
"QF_NIA_small\aproveSMT3101880129747917873.smt2",0,2.8336945436002,2.656,2.942,1,0,0,
"QF_NIA_small\aproveSMT325795488857285297.smt2",0,1.25721153846154,1.359,1.695,1,0,0,
"QF_NIA_small\aproveSMT3264265901512371238.smt2",0,0.0897597254004577,0.094,0.228,1,0,0,
"QF_NIA_small\aproveSMT3305912493296657311.smt2",0,0.0528710068742418,0.063,0.14,1,0,0,
"QF_NIA_small\aproveSMT3306677380446705919.smt2",0,0.0567245119305857,0.063,0.406,1,0,0,
"QF_NIA_small\aproveSMT3320813910319868151.smt2",,890.591741166454,1000,1000,0,0,0,
"QF_NIA_small\aproveSMT3334656614075774306.smt2",0,0.103488240615106,0.109,0.382,1,0,0,
"QF_NIA_small\aproveSMT334180970798087384.smt2",0,1.16258271298594,1.344,1.645,1,0,0,
"QF_NIA_small\aproveSMT3342367565143444747.smt2",0,0.057145979020979,0.063,0.162,1,0,0,
"QF_NIA_small\aproveSMT3400215009548742987.smt2",0,1.45088120104439,1.594,1.882,0,1,0,
